Key,Timestamp,AEDT_Timestamp,Translation
F1,16:25.8,9:16:26,Australian Magpie
7,16:35.1,9:16:35,Little Wattlebird
7,16:50.4,9:16:50,Little Wattlebird
1,16:52.4,9:16:52,Grey Fantail
7,17:01.1,9:17:01,Little Wattlebird
7,17:11.7,9:17:12,Little Wattlebird
7,17:21.0,9:17:21,Little Wattlebird
7,17:30.9,9:17:31,Little Wattlebird
7,17:39.4,9:17:39,Little Wattlebird
7,17:40.8,9:17:41,Little Wattlebird
1,17:53.4,9:17:53,Grey Fantail
7,17:58.6,9:17:59,Little Wattlebird
7,18:07.8,9:18:08,Little Wattlebird
7,18:25.3,9:18:25,Little Wattlebird
g,18:42.7,9:18:43,White-browed Scrubwren
1,18:43.7,9:18:44,Grey Fantail
`,18:52.2,9:18:52,Golden Whistler
7,19:03.9,9:19:04,Little Wattlebird
7,19:08.4,9:19:08,Little Wattlebird
7,19:34.4,9:19:34,Little Wattlebird
F7,19:43.2,9:19:43,Brown Gerygone
7,19:45.4,9:19:45,Little Wattlebird
1,19:50.6,9:19:51,Grey Fantail
g,19:54.0,9:19:54,White-browed Scrubwren
[,19:56.3,9:19:56,Superb Fairywren
7,20:04.6,9:20:05,Little Wattlebird
7,20:18.4,9:20:18,Little Wattlebird
7,20:35.9,9:20:36,Little Wattlebird
[,20:48.7,9:20:49,Superb Fairywren
[,20:50.1,9:20:50,Superb Fairywren
[,20:55.9,9:20:56,Superb Fairywren
[,21:01.7,9:21:02,Superb Fairywren
[,21:03.6,9:21:04,Superb Fairywren
[,21:06.0,9:21:06,Superb Fairywren
[,21:12.3,9:21:12,Superb Fairywren
7,21:20.4,9:21:20,Little Wattlebird
[,21:20.8,9:21:21,Superb Fairywren
[,21:23.8,9:21:24,Superb Fairywren
7,21:29.9,9:21:30,Little Wattlebird
[,21:52.3,9:21:52,Superb Fairywren
[,22:17.7,9:22:18,Superb Fairywren
[,22:30.0,9:22:30,Superb Fairywren
F8,22:41.5,9:22:41,Brown Thornbill
`,22:51.0,9:22:51,Golden Whistler
F8,23:01.1,9:23:01,Brown Thornbill
7,23:10.3,9:23:10,Little Wattlebird
[,24:07.6,9:24:08,Superb Fairywren
[,24:10.6,9:24:11,Superb Fairywren
[,24:13.2,9:24:13,Superb Fairywren
[,24:26.5,9:24:27,Superb Fairywren
1,24:47.8,9:24:48,Grey Fantail
1,24:49.6,9:24:50,Grey Fantail
1,24:53.4,9:24:53,Grey Fantail
1,24:56.0,9:24:56,Grey Fantail
0,25:04.4,9:25:04,Noisy Friarbird
1,25:09.1,9:25:09,Grey Fantail
1,25:11.0,9:25:11,Grey Fantail
1,25:15.6,9:25:16,Grey Fantail
`,25:49.1,9:25:49,Golden Whistler
7,26:29.8,9:26:30,Little Wattlebird
1,26:42.0,9:26:42,Grey Fantail
7,26:52.6,9:26:53,Little Wattlebird
7,26:56.0,9:26:56,Little Wattlebird
1,27:02.2,9:27:02,Grey Fantail
7,27:06.6,9:27:07,Little Wattlebird
F8,27:11.4,9:27:11,Brown Thornbill
`,27:40.3,9:27:40,Golden Whistler
F8,27:50.2,9:27:50,Brown Thornbill
[,28:00.3,9:28:00,Superb Fairywren
1,28:12.8,9:28:13,Grey Fantail
[,28:20.4,9:28:20,Superb Fairywren
[,28:31.9,9:28:32,Superb Fairywren
Enter,28:36.1,9:28:36,Yellow-faced Honeyeater
Enter,28:49.0,9:28:49,Yellow-faced Honeyeater
Enter,28:50.4,9:28:50,Yellow-faced Honeyeater
Enter,28:54.2,9:28:54,Yellow-faced Honeyeater
Enter,29:02.4,9:29:02,Yellow-faced Honeyeater
Enter,29:14.5,9:29:15,Yellow-faced Honeyeater
F2,29:16.5,9:29:17,Australian Rufous Fantail
x,29:23.1,9:29:23,Eastern Shrike-tit
F8,29:27.9,9:29:28,Brown Thornbill
F8,29:30.2,9:29:30,Brown Thornbill
F8,29:31.7,9:29:32,Brown Thornbill
F8,29:33.3,9:29:33,Brown Thornbill
F8,29:36.7,9:29:37,Brown Thornbill
u,29:43.3,9:29:43,Scarlet Honeyeater
Enter,29:44.3,9:29:44,Yellow-faced Honeyeater
Enter,29:47.4,9:29:47,Yellow-faced Honeyeater
F2,29:54.5,9:29:54,Australian Rufous Fantail
Enter,29:55.9,9:29:56,Yellow-faced Honeyeater
Enter,29:58.0,9:29:58,Yellow-faced Honeyeater
F8,29:58.3,9:29:58,Brown Thornbill
F8,30:01.5,9:30:01,Brown Thornbill
Enter,30:01.8,9:30:02,Yellow-faced Honeyeater
Enter,30:04.0,9:30:04,Yellow-faced Honeyeater
Enter,30:07.7,9:30:08,Yellow-faced Honeyeater
F2,30:11.5,9:30:11,Australian Rufous Fantail
Enter,30:20.1,9:30:20,Yellow-faced Honeyeater
`,30:36.7,9:30:37,Golden Whistler
Enter,30:37.9,9:30:38,Yellow-faced Honeyeater
`,30:40.4,9:30:40,Golden Whistler
[,30:44.7,9:30:45,Superb Fairywren
Enter,30:51.1,9:30:51,Yellow-faced Honeyeater
Enter,30:55.2,9:30:55,Yellow-faced Honeyeater
`,31:00.5,9:31:01,Golden Whistler
x,31:10.6,9:31:11,Eastern Shrike-tit
u,31:20.2,9:31:20,Scarlet Honeyeater
u,31:22.8,9:31:23,Scarlet Honeyeater
x,31:25.2,9:31:25,Eastern Shrike-tit
x,31:36.3,9:31:36,Eastern Shrike-tit
x,31:42.5,9:31:42,Eastern Shrike-tit
`,31:44.9,9:31:45,Golden Whistler
x,31:45.1,9:31:45,Eastern Shrike-tit
x,31:46.7,9:31:47,Eastern Shrike-tit
x,31:48.0,9:31:48,Eastern Shrike-tit
x,31:49.3,9:31:49,Eastern Shrike-tit
x,31:53.9,9:31:54,Eastern Shrike-tit
x,31:56.4,9:31:56,Eastern Shrike-tit
g,32:00.0,9:32:00,White-browed Scrubwren
x,32:01.4,9:32:01,Eastern Shrike-tit
g,32:01.8,9:32:02,White-browed Scrubwren
x,32:04.2,9:32:04,Eastern Shrike-tit
x,32:06.5,9:32:07,Eastern Shrike-tit
g,32:08.4,9:32:08,White-browed Scrubwren
x,32:11.3,9:32:11,Eastern Shrike-tit
1,32:11.6,9:32:12,Grey Fantail
`,32:13.7,9:32:14,Golden Whistler
x,32:15.9,9:32:16,Eastern Shrike-tit
x,32:38.6,9:32:39,Eastern Shrike-tit
`,32:41.9,9:32:42,Golden Whistler
x,32:50.7,9:32:51,Eastern Shrike-tit
x,32:56.3,9:32:56,Eastern Shrike-tit
x,32:59.8,9:33:00,Eastern Shrike-tit
F8,33:05.7,9:33:06,Brown Thornbill
l,33:08.1,9:33:08,Willie Wagtail
`,33:10.8,9:33:11,Golden Whistler
[,33:13.4,9:33:13,Superb Fairywren
F7,33:25.4,9:33:25,Brown Gerygone
F7,33:32.8,9:33:33,Brown Gerygone
x,33:36.5,9:33:36,Eastern Shrike-tit
x,33:40.0,9:33:40,Eastern Shrike-tit
5,34:03.2,9:34:03,Lewin's Honeyeater
x,34:04.0,9:34:04,Eastern Shrike-tit
x,34:06.4,9:34:06,Eastern Shrike-tit
x,34:09.4,9:34:09,Eastern Shrike-tit
x,34:12.1,9:34:12,Eastern Shrike-tit
u,34:15.9,9:34:16,Scarlet Honeyeater
x,34:16.1,9:34:16,Eastern Shrike-tit
x,34:19.7,9:34:20,Eastern Shrike-tit
u,34:21.9,9:34:22,Scarlet Honeyeater
x,34:24.6,9:34:25,Eastern Shrike-tit
x,34:41.4,9:34:41,Eastern Shrike-tit
u,34:54.7,9:34:55,Scarlet Honeyeater
x,34:56.1,9:34:56,Eastern Shrike-tit
g,34:59.7,9:35:00,White-browed Scrubwren
F7,35:09.0,9:35:09,Brown Gerygone
1,35:18.0,9:35:18,Grey Fantail
F7,35:19.3,9:35:19,Brown Gerygone
F7,35:21.0,9:35:21,Brown Gerygone
F7,35:22.8,9:35:23,Brown Gerygone
F7,35:24.0,9:35:24,Brown Gerygone
F7,35:25.5,9:35:26,Brown Gerygone
F7,35:27.7,9:35:28,Brown Gerygone
F7,35:34.6,9:35:35,Brown Gerygone
F7,35:36.0,9:35:36,Brown Gerygone
[,35:36.9,9:35:37,Superb Fairywren
1,35:38.0,9:35:38,Grey Fantail
F7,35:40.2,9:35:40,Brown Gerygone
F7,35:42.3,9:35:42,Brown Gerygone
F7,35:44.0,9:35:44,Brown Gerygone
F7,35:46.4,9:35:46,Brown Gerygone
7,35:47.7,9:35:48,Little Wattlebird
F7,35:49.3,9:35:49,Brown Gerygone
F7,35:52.5,9:35:53,Brown Gerygone
F7,35:55.2,9:35:55,Brown Gerygone
F7,35:57.4,9:35:57,Brown Gerygone
x,35:57.9,9:35:58,Eastern Shrike-tit
F7,35:59.9,9:36:00,Brown Gerygone
F7,36:01.3,9:36:01,Brown Gerygone
k,36:02.2,9:36:02,White-throated Treecreeper
k,36:03.8,9:36:04,White-throated Treecreeper
F7,36:04.1,9:36:04,Brown Gerygone
k,36:05.4,9:36:05,White-throated Treecreeper
F7,36:05.5,9:36:05,Brown Gerygone
F7,36:07.6,9:36:08,Brown Gerygone
F7,36:09.5,9:36:09,Brown Gerygone
F7,36:11.4,9:36:11,Brown Gerygone
F7,36:13.0,9:36:13,Brown Gerygone
F7,36:14.6,9:36:15,Brown Gerygone
F7,36:16.7,9:36:17,Brown Gerygone
F7,36:18.7,9:36:19,Brown Gerygone
[,36:20.2,9:36:20,Superb Fairywren
9,36:25.4,9:36:25,Mistletoebird
q,36:32.4,9:36:32,Rainbow Lorikeet
q,36:33.2,9:36:33,Rainbow Lorikeet
F7,36:37.1,9:36:37,Brown Gerygone
[,36:45.7,9:36:46,Superb Fairywren
[,36:48.1,9:36:48,Superb Fairywren
[,36:51.5,9:36:52,Superb Fairywren
9,36:58.5,9:36:59,Mistletoebird
[,36:59.5,9:36:59,Superb Fairywren
[,37:00.6,9:37:01,Superb Fairywren
[,37:12.3,9:37:12,Superb Fairywren
[,37:14.4,9:37:14,Superb Fairywren
x,37:18.3,9:37:18,Eastern Shrike-tit
x,37:19.7,9:37:20,Eastern Shrike-tit
x,37:26.2,9:37:26,Eastern Shrike-tit
h,38:01.1,9:38:01,White-cheeked Honeyeater
h,38:02.4,9:38:02,White-cheeked Honeyeater
h,38:03.2,9:38:03,White-cheeked Honeyeater
h,38:05.2,9:38:05,White-cheeked Honeyeater
h,38:07.7,9:38:08,White-cheeked Honeyeater
u,38:08.1,9:38:08,Scarlet Honeyeater
h,38:10.0,9:38:10,White-cheeked Honeyeater
x,38:11.7,9:38:12,Eastern Shrike-tit
x,38:14.9,9:38:15,Eastern Shrike-tit
x,38:17.0,9:38:17,Eastern Shrike-tit
h,38:18.1,9:38:18,White-cheeked Honeyeater
x,38:18.9,9:38:19,Eastern Shrike-tit
x,38:22.3,9:38:22,Eastern Shrike-tit
x,38:23.9,9:38:24,Eastern Shrike-tit
h,38:24.8,9:38:25,White-cheeked Honeyeater
x,38:27.9,9:38:28,Eastern Shrike-tit
F10,38:28.7,9:38:29,Eastern Spinebill
h,38:31.9,9:38:32,White-cheeked Honeyeater
h,38:33.3,9:38:33,White-cheeked Honeyeater
h,38:34.5,9:38:35,White-cheeked Honeyeater
5,38:38.6,9:38:39,Lewin's Honeyeater
h,38:40.2,9:38:40,White-cheeked Honeyeater
1,38:41.8,9:38:42,Grey Fantail
h,38:43.9,9:38:44,White-cheeked Honeyeater
F7,38:46.5,9:38:47,Brown Gerygone
h,38:47.1,9:38:47,White-cheeked Honeyeater
F7,38:47.6,9:38:48,Brown Gerygone
h,38:48.0,9:38:48,White-cheeked Honeyeater
F7,38:49.0,9:38:49,Brown Gerygone
h,38:49.1,9:38:49,White-cheeked Honeyeater
F7,38:50.5,9:38:51,Brown Gerygone
h,38:51.2,9:38:51,White-cheeked Honeyeater
F7,38:51.7,9:38:52,Brown Gerygone
F7,38:53.2,9:38:53,Brown Gerygone
F7,38:54.5,9:38:55,Brown Gerygone
1,38:55.3,9:38:55,Grey Fantail
F7,38:56.0,9:38:56,Brown Gerygone
Enter,39:06.2,9:39:06,Yellow-faced Honeyeater
Enter,39:07.2,9:39:07,Yellow-faced Honeyeater
F7,39:10.5,9:39:11,Brown Gerygone
F7,39:13.8,9:39:14,Brown Gerygone
w,39:15.8,9:39:16,Red-browed Finch
w,39:16.7,9:39:17,Red-browed Finch
w,39:17.9,9:39:18,Red-browed Finch
h,39:21.1,9:39:21,White-cheeked Honeyeater
F7,39:26.0,9:39:26,Brown Gerygone
h,39:26.9,9:39:27,White-cheeked Honeyeater
1,39:27.1,9:39:27,Grey Fantail
h,39:30.3,9:39:30,White-cheeked Honeyeater
h,39:31.6,9:39:32,White-cheeked Honeyeater
F7,39:37.9,9:39:38,Brown Gerygone
[,39:58.3,9:39:58,Superb Fairywren
h,40:01.6,9:40:02,White-cheeked Honeyeater
z,40:02.8,9:40:03,Eastern Shrike-tit
h,40:10.5,9:40:10,White-cheeked Honeyeater
h,40:14.7,9:40:15,White-cheeked Honeyeater
h,40:15.9,9:40:16,White-cheeked Honeyeater
h,40:17.8,9:40:18,White-cheeked Honeyeater
h,40:20.1,9:40:20,White-cheeked Honeyeater
3,40:21.6,9:40:22,Laughing Kookaburra
h,40:21.9,9:40:22,White-cheeked Honeyeater
3,40:23.6,9:40:24,Laughing Kookaburra
h,40:23.9,9:40:24,White-cheeked Honeyeater
h,40:25.5,9:40:26,White-cheeked Honeyeater
h,40:26.8,9:40:27,White-cheeked Honeyeater
3,40:27.2,9:40:27,Laughing Kookaburra
3,40:28.3,9:40:28,Laughing Kookaburra
h,40:28.3,9:40:28,White-cheeked Honeyeater
3,40:29.2,9:40:29,Laughing Kookaburra
h,40:29.3,9:40:29,White-cheeked Honeyeater
3,40:30.5,9:40:30,Laughing Kookaburra
h,40:30.5,9:40:31,White-cheeked Honeyeater
3,40:31.7,9:40:32,Laughing Kookaburra
h,40:31.8,9:40:32,White-cheeked Honeyeater
3,40:32.8,9:40:33,Laughing Kookaburra
h,40:32.9,9:40:33,White-cheeked Honeyeater
3,40:34.0,9:40:34,Laughing Kookaburra
h,40:34.2,9:40:34,White-cheeked Honeyeater
3,40:35.2,9:40:35,Laughing Kookaburra
h,40:35.3,9:40:35,White-cheeked Honeyeater
h,40:36.5,9:40:36,White-cheeked Honeyeater
h,40:39.8,9:40:40,White-cheeked Honeyeater
F7,40:41.5,9:40:42,Brown Gerygone
h,40:41.9,9:40:42,White-cheeked Honeyeater
